Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Cluster,Age Bracket,Hierarchical Cluster,Risk Score,Risk Category
67,male,2,1,unknown,little,1169,6,5,2,50+,3,6.359696641386782,Low Risk
22,female,2,1,little,moderate,5951,48,5,0,<30,2,32.432286023835324,Low Risk
49,male,1,1,little,unknown,2096,12,3,2,30-50,4,11.404387865655472,Low Risk
45,male,2,0,little,little,7882,42,4,0,30-50,2,42.86836403033586,Low Risk
53,male,2,0,little,little,4870,24,1,2,50+,3,26.478873239436616,Low Risk
35,male,1,0,unknown,unknown,9055,36,3,0,30-50,1,49.20232936078006,Low Risk
53,male,2,1,quite rich,unknown,2835,24,4,2,50+,3,15.456392199349944,Low Risk
35,male,3,2,little,moderate,6948,36,1,0,30-50,2,37.78439869989166,Low Risk
61,male,1,1,rich,unknown,3059,12,5,2,50+,3,16.62107258938245,Low Risk
28,male,3,1,little,moderate,5234,30,1,0,<30,1,28.475081256771396,Low Risk
25,female,2,2,little,moderate,1295,12,1,3,<30,4,7.063921993499458,Low Risk
24,female,2,2,little,little,4308,48,0,0,<30,1,23.53196099674973,Low Risk
22,female,2,1,little,moderate,1567,12,5,3,<30,4,8.537378114842904,Low Risk
60,male,1,1,little,little,1199,24,1,2,50+,3,6.592632719393284,Low Risk
28,female,2,2,little,little,1403,15,1,3,<30,4,7.66115926327194,Low Risk
32,female,1,1,moderate,little,1282,24,5,3,30-50,4,7.042253521126762,Low Risk
53,male,2,1,unknown,unknown,2424,24,5,2,50+,3,13.232665222101843,Low Risk
25,male,2,1,unknown,little,8072,30,0,0,<30,1,43.851570964247024,Low Risk
44,female,3,0,little,moderate,12579,24,1,0,30-50,2,68.2394366197183,Medium Risk
31,male,2,1,quite rich,unknown,3430,24,5,1,30-50,4,18.679577464788732,Low Risk
48,male,2,1,little,unknown,2134,9,1,2,30-50,3,11.598049837486458,Low Risk
44,male,2,2,quite rich,little,2647,6,5,2,30-50,4,14.363488624052003,Low Risk
48,male,1,2,little,little,2241,10,1,2,30-50,4,12.180390032502709,Low Risk
44,male,2,1,moderate,moderate,1804,12,1,2,30-50,4,9.821235102925243,Low Risk
26,male,2,1,unknown,unknown,2069,10,4,3,<30,4,11.252708559046589,Low Risk
36,male,1,1,little,little,1374,6,4,3,30-50,4,7.467497291440953,Low Risk
39,male,1,1,little,unknown,426,6,5,3,30-50,4,2.3334236186348867,Low Risk
42,female,2,2,rich,rich,409,12,5,2,30-50,4,2.2643553629469126,Low Risk
34,male,2,1,little,moderate,2415,7,5,3,30-50,4,13.110780065005418,Low Risk
63,male,2,1,little,little,6836,60,0,0,50+,2,37.27518959913326,Low Risk
36,male,2,1,rich,moderate,1913,18,0,1,30-50,4,10.436078006500543,Low Risk
27,male,2,1,little,little,4020,24,4,1,<30,4,21.874322860238355,Low Risk
30,male,2,1,moderate,moderate,5866,18,1,1,<30,1,31.84994582881907,Low Risk
57,male,1,2,unknown,unknown,1264,12,0,2,50+,3,6.900054171180932,Low Risk
33,female,3,1,little,rich,1474,12,4,1,30-50,4,8.033586132177682,Low Risk
25,male,1,1,little,moderate,4746,45,5,1,<30,1,25.892470205850486,Low Risk
31,male,2,0,little,unknown,6110,48,3,0,30-50,2,33.29496208017335,Low Risk
37,male,2,1,little,rich,2100,18,5,1,30-50,4,11.44907908992416,Low Risk
37,male,2,1,little,rich,1225,10,2,3,30-50,4,6.6765980498374855,Low Risk
24,male,2,1,little,moderate,458,9,5,3,<30,4,2.517605633802817,Low Risk
30,male,3,1,quite rich,unknown,2333,30,5,1,<30,1,12.761375947995667,Low Risk
26,male,2,1,quite rich,moderate,1158,12,5,3,<30,4,6.321776814734561,Low Risk
44,male,1,1,little,moderate,6204,18,6,2,30-50,3,33.68093174431203,Low Risk
24,male,2,2,moderate,little,6187,30,1,1,<30,1,33.637594799566635,Low Risk
58,female,1,0,little,little,6143,48,1,0,50+,2,33.472372697724815,Low Risk
35,female,3,1,little,unknown,1393,11,1,1,30-50,4,7.592091007583966,Low Risk
39,male,2,1,quite rich,unknown,2299,36,5,1,30-50,3,12.601570964247022,Low Risk
23,female,0,2,quite rich,little,1352,6,1,3,<30,4,7.348320693391116,Low Risk
39,male,1,1,little,unknown,7228,11,1,1,30-50,4,39.20097508125678,Low Risk
28,female,2,1,moderate,unknown,2073,12,5,3,<30,4,11.27979414951246,Low Risk
29,male,1,1,unknown,moderate,2333,24,4,3,<30,4,12.738353196099677,Low Risk
30,male,3,1,little,moderate,5965,27,1,0,<30,1,32.42280606717226,Low Risk
25,male,2,1,little,unknown,1262,12,5,3,<30,4,6.886511375947997,Low Risk
31,male,2,1,unknown,unknown,3378,18,1,1,30-50,4,18.376218851570965,Low Risk
57,male,2,0,little,moderate,2225,36,1,2,50+,3,12.19934994582882,Low Risk
26,male,1,1,unknown,unknown,783,6,1,3,<30,4,4.270043336944746,Low Risk
52,male,3,1,unknown,moderate,6468,12,5,2,50+,3,35.08938244853738,Low Risk
31,female,2,1,little,unknown,9566,36,5,0,30-50,2,51.967768147345616,Medium Risk
23,female,3,1,little,rich,1961,18,1,1,<30,4,10.696099674972915,Low Risk
23,female,1,2,little,little,6229,36,4,1,<30,1,33.88949079089925,Low Risk
27,male,2,1,little,moderate,1391,9,0,3,<30,4,7.571776814734561,Low Risk
50,male,2,1,unknown,moderate,1537,15,5,2,30-50,3,8.389761646803901,Low Risk
61,male,3,0,little,moderate,1953,36,0,2,50+,3,10.725893824485373,Low Risk
25,male,2,1,little,moderate,14421,48,0,0,<30,2,78.31527627302275,High Risk
26,female,2,1,little,unknown,3181,24,5,1,<30,4,17.3307150595883,Low Risk
48,male,2,1,unknown,unknown,5190,27,6,2,30-50,3,28.22860238353196,Low Risk
29,female,2,1,little,unknown,2171,12,5,3,<30,4,11.810671722643555,Low Risk
22,male,2,1,rich,moderate,1007,12,1,3,<30,4,5.503791982665223,Low Risk
37,male,2,0,little,unknown,1819,36,3,1,30-50,1,10.001354279523293,Low Risk
25,female,2,1,unknown,unknown,2394,36,5,1,<30,1,13.118905742145179,Low Risk
30,female,2,1,little,unknown,8133,36,1,0,<30,2,44.20503791982666,Low Risk
46,male,1,2,unknown,unknown,730,7,5,2,30-50,4,3.986998916576382,Low Risk
51,male,3,0,little,little,1164,8,7,2,50+,3,6.338028169014084,Low Risk
41,female,1,1,little,moderate,5954,42,0,1,30-50,2,32.42416034669556,Low Risk
40,male,3,1,unknown,little,1977,36,3,1,30-50,2,10.858613217768148,Low Risk
66,male,3,0,little,little,1526,12,1,2,50+,3,8.315276273022752,Low Risk
34,male,2,1,little,little,3965,42,5,1,30-50,1,21.649512459371614,Low Risk
51,male,2,1,little,moderate,4771,11,5,2,50+,3,25.889761646803898,Low Risk
39,male,1,1,unknown,unknown,9436,54,1,0,30-50,2,51.33938244853737,Medium Risk
22,male,2,1,little,moderate,3832,30,4,1,<30,1,20.880281690140848,Low Risk
44,female,2,1,unknown,unknown,5943,24,5,1,30-50,3,32.29550379198266,Low Risk
47,male,2,1,quite rich,unknown,1213,15,5,2,30-50,4,6.633261105092092,Low Risk
24,female,1,2,moderate,unknown,1568,18,0,3,<30,4,8.568526543878658,Low Risk
58,female,1,1,little,little,1755,24,7,2,50+,3,9.604550379198267,Low Risk
52,male,1,1,little,little,2315,10,5,2,50+,3,12.581256771397618,Low Risk
29,female,3,1,little,unknown,1412,12,0,1,<30,4,7.699079089924162,Low Risk
27,female,2,1,little,moderate,1295,18,4,3,<30,4,7.088299024918743,Low Risk
47,male,2,0,moderate,moderate,12612,36,3,0,30-50,2,68.46695557963164,Medium Risk
30,male,3,1,moderate,little,2249,18,1,1,<30,4,12.25622968580715,Low Risk
28,male,2,1,little,little,1108,12,6,3,<30,4,6.05092091007584,Low Risk
56,male,2,1,little,unknown,618,12,5,2,50+,3,3.3978873239436624,Low Risk
54,male,2,1,little,little,1409,12,1,2,50+,3,7.681473456121345,Low Risk
33,female,1,1,unknown,unknown,797,12,5,3,30-50,4,4.370260021668472,Low Risk
20,male,2,2,unknown,rich,3617,24,4,1,<30,4,19.69393282773565,Low Risk
54,male,2,1,rich,moderate,1318,12,1,2,50+,3,7.188515709642471,Low Risk
58,male,2,2,little,moderate,15945,54,0,0,50+,2,86.59534127843986,High Risk
61,female,2,1,unknown,unknown,2012,12,3,2,50+,3,10.952058504875408,Low Risk
34,male,2,1,moderate,moderate,2622,18,0,1,30-50,4,14.276814734561214,Low Risk
36,male,2,1,little,moderate,2337,36,5,1,30-50,1,12.806067172264354,Low Risk
36,male,3,2,unknown,moderate,7057,20,1,0,30-50,2,38.312567713976165,Low Risk
41,male,1,2,moderate,unknown,1469,24,1,3,30-50,4,8.056608884073674,Low Risk
24,male,2,2,little,moderate,2323,36,5,1,<30,1,12.730227518959914,Low Risk
24,female,2,1,little,unknown,932,6,5,3,<30,4,5.074485373781149,Low Risk
35,male,2,2,little,moderate,1919,9,4,3,30-50,4,10.432015167930663,Low Risk
26,male,2,2,unknown,unknown,2445,12,1,3,<30,4,13.297670639219936,Low Risk
39,male,3,1,little,moderate,11938,24,7,0,30-50,2,64.7670639219935,Medium Risk
39,male,3,1,little,unknown,6458,18,1,0,30-50,2,35.058234019501626,Low Risk
32,male,2,1,little,moderate,6078,12,1,1,30-50,4,32.973997833152765,Low Risk
30,female,2,1,unknown,little,7721,24,4,1,<30,1,41.92578548212351,Low Risk
35,male,2,1,quite rich,moderate,1410,14,0,3,30-50,4,7.69501625135428,Low Risk
31,male,2,1,moderate,moderate,1449,6,0,3,30-50,4,7.8737811484290345,Low Risk
23,female,2,2,little,rich,392,15,3,3,<30,4,2.1844528710725895,Low Risk
28,male,1,2,little,moderate,6260,18,1,1,<30,4,33.984290357529794,Low Risk
25,female,2,1,little,unknown,7855,36,1,0,<30,1,42.69907908992416,Low Risk
35,male,2,1,quite rich,little,1680,12,5,3,30-50,4,9.149512459371614,Low Risk
47,male,2,1,unknown,unknown,3578,48,5,0,30-50,2,19.581527627302275,Low Risk
30,female,3,1,unknown,little,7174,42,5,0,<30,2,39.03575297941495,Low Risk
27,female,2,2,unknown,little,2132,10,4,3,<30,4,11.592632719393285,Low Risk
23,female,2,1,quite rich,little,4281,33,4,1,<30,1,23.324756229685807,Low Risk
36,male,3,1,quite rich,moderate,2366,12,1,1,30-50,4,12.865655471289275,Low Risk
25,female,2,1,little,little,1835,21,5,1,<30,4,10.025731310942577,Low Risk
41,female,3,2,little,unknown,3868,24,1,1,30-50,3,21.052275189599136,Low Risk
24,male,1,2,little,unknown,1768,12,4,3,<30,4,9.627573131094259,Low Risk
63,male,2,0,little,rich,781,10,1,2,50+,3,4.27139761646804,Low Risk
27,female,2,2,unknown,moderate,1924,18,4,3,<30,4,10.498374864572048,Low Risk
30,male,2,1,little,little,2121,12,1,3,<30,4,11.53846153846154,Low Risk
40,male,1,1,little,little,701,12,5,3,30-50,4,3.846153846153847,Low Risk
30,male,2,1,little,moderate,639,12,6,3,<30,4,3.510292524377032,Low Risk
34,male,3,1,little,moderate,1860,12,1,1,30-50,4,10.124593716143012,Low Risk
29,female,2,1,little,little,3499,12,1,1,<30,4,19.003250270855908,Low Risk
24,female,2,1,unknown,moderate,8487,48,1,0,<30,2,46.17280606717227,Low Risk
29,male,2,1,little,little,6887,36,3,0,<30,1,37.45395449620802,Low Risk
27,male,1,1,little,unknown,2708,15,4,3,<30,4,14.731852654387865,Low Risk
47,male,2,0,little,unknown,1984,18,4,2,30-50,3,10.82204767063922,Low Risk
21,female,2,1,moderate,unknown,10144,60,5,0,<30,2,55.19637053087758,Medium Risk
38,female,2,1,unknown,unknown,1240,12,5,3,30-50,4,6.770043336944746,Low Risk
27,male,2,1,rich,unknown,8613,27,1,0,<30,1,46.768689057421454,Low Risk
66,male,1,1,quite rich,moderate,766,12,5,2,50+,3,4.198266522210185,Low Risk
35,male,2,1,unknown,moderate,2728,15,5,1,30-50,4,14.84154929577465,Low Risk
44,female,1,2,little,rich,1881,12,5,3,30-50,4,10.238353196099677,Low Risk
27,male,0,1,rich,rich,709,6,1,3,<30,4,3.865113759479957,Low Risk
30,female,3,1,little,moderate,4795,36,5,0,<30,1,26.121343445287103,Low Risk
27,male,3,1,little,little,3416,27,5,1,<30,1,18.614572047670638,Low Risk
22,male,2,1,little,little,2462,18,4,1,<30,4,13.410075839653304,Low Risk
23,female,2,1,little,unknown,2288,21,4,1,<30,4,12.481040086673891,Low Risk
30,male,2,1,moderate,moderate,3566,48,0,0,<30,1,19.512459371614305,Low Risk
39,female,2,1,little,little,860,6,1,3,30-50,4,4.683098591549296,Low Risk
51,female,2,1,moderate,unknown,682,12,1,2,50+,3,3.7445828819068265,Low Risk
28,male,2,1,little,little,5371,36,4,1,<30,1,29.241603466955585,Low Risk
46,male,2,1,rich,unknown,1582,18,5,2,30-50,4,8.6443661971831,Low Risk
42,male,2,0,moderate,unknown,1346,6,5,2,30-50,4,7.317172264355362,Low Risk
38,male,2,1,little,unknown,1924,10,5,3,30-50,4,10.464517876489708,Low Risk
24,male,2,1,little,rich,5848,36,5,1,<30,1,31.82556879739979,Low Risk
29,female,2,2,rich,moderate,7758,24,1,1,<30,1,42.12351029252438,Low Risk
36,male,3,2,moderate,moderate,6967,24,0,0,30-50,2,37.8385698808234,Low Risk
20,female,2,2,little,little,1282,12,4,3,<30,4,6.993499458288192,Low Risk
48,male,2,1,moderate,little,1288,9,6,2,30-50,3,7.013813651137596,Low Risk
45,male,1,1,little,little,339,12,3,3,30-50,4,1.885157096424702,Low Risk
38,male,2,1,moderate,moderate,3512,24,1,1,30-50,3,19.122426868905745,Low Risk
34,male,1,1,unknown,unknown,1898,6,5,3,30-50,4,10.310130010834238,Low Risk
36,male,2,1,moderate,unknown,2872,24,5,1,30-50,4,15.656825568797398,Low Risk
30,female,2,1,little,unknown,1055,18,1,3,<30,4,5.789544962080173,Low Risk
36,male,2,1,quite rich,unknown,1262,15,2,3,30-50,4,6.898699891657639,Low Risk
70,male,3,0,little,moderate,7308,10,1,2,50+,3,39.62892741061756,Low Risk
36,male,2,1,quite rich,unknown,909,36,1,1,30-50,4,5.071776814734561,Low Risk
32,male,2,1,quite rich,unknown,2978,6,4,3,30-50,4,16.157908992416033,Low Risk
33,female,2,1,little,little,1131,18,4,3,30-50,4,6.199891657638137,Low Risk
20,female,2,1,rich,moderate,1577,11,4,3,<30,4,8.587486457204767,Low Risk
25,female,2,2,little,unknown,3972,24,4,1,<30,4,21.615655471289276,Low Risk
31,male,2,1,little,moderate,1935,24,0,1,30-50,4,10.579631635969665,Low Risk
33,male,2,2,little,little,950,15,1,3,30-50,4,5.2072047670639225,Low Risk
26,female,2,1,little,unknown,763,12,4,3,<30,4,4.183369447453956,Low Risk
34,female,3,1,little,moderate,2064,24,4,1,30-50,1,11.278439869989167,Low Risk
33,male,2,1,little,moderate,1414,8,5,3,30-50,4,7.6923076923076925,Low Risk
26,male,2,1,little,little,3414,21,3,1,<30,4,18.579360780065006,Low Risk
53,female,3,1,unknown,unknown,7485,30,1,0,50+,2,40.67307692307692,Low Risk
42,male,2,1,little,little,2577,12,4,2,30-50,4,14.008667388949078,Low Risk
52,male,2,1,quite rich,little,338,6,5,2,50+,3,1.855362946912243,Low Risk
31,male,3,2,little,unknown,1963,12,5,1,30-50,4,10.683911159263273,Low Risk
65,male,2,1,little,little,571,21,1,2,50+,3,3.1784940411700977,Low Risk
28,male,2,1,little,unknown,9572,36,0,0,<30,2,52.00027085590466,Medium Risk
30,male,3,1,little,moderate,4455,36,0,0,<30,1,24.2795232936078,Low Risk
40,male,1,1,unknown,little,1647,21,1,3,30-50,4,9.010021668472373,Low Risk
50,male,2,1,rich,unknown,3777,24,4,2,30-50,3,20.55931744312026,Low Risk
36,male,2,1,little,moderate,884,18,1,3,30-50,4,4.861863488624052,Low Risk
31,male,2,1,little,unknown,1360,15,5,3,30-50,4,7.429577464788732,Low Risk
74,female,3,0,little,moderate,5129,9,1,2,50+,3,27.82096424702058,Low Risk
68,male,0,0,little,moderate,1175,16,1,2,50+,3,6.430119176598049,Low Risk
20,male,2,1,moderate,little,674,12,5,3,<30,4,3.6998916576381373,Low Risk
33,female,2,1,little,moderate,3244,18,4,1,30-50,4,17.646262188515713,Low Risk
54,male,3,1,rich,unknown,4591,24,0,2,50+,3,24.968851570964247,Low Risk
34,male,1,0,moderate,moderate,3844,48,0,1,30-50,1,21.0184182015168,Low Risk
36,male,2,1,little,moderate,3915,27,0,1,30-50,1,21.31771397616468,Low Risk
29,male,2,2,little,unknown,2108,6,5,3,<30,4,11.44501625135428,Low Risk
21,male,2,2,moderate,moderate,3031,45,5,1,<30,1,16.60211267605634,Low Risk
34,female,3,1,little,moderate,1501,9,3,1,30-50,4,8.167659804983748,Low Risk
28,female,2,1,little,unknown,1382,6,5,3,<30,4,7.512188515709643,Low Risk
27,female,2,2,moderate,moderate,951,12,4,3,<30,4,5.200433369447454,Low Risk
36,male,2,0,unknown,moderate,2760,24,1,1,30-50,4,15.05146262188516,Low Risk
40,male,3,1,little,moderate,4297,18,4,1,30-50,3,23.35048754062839,Low Risk
52,male,2,1,quite rich,unknown,936,9,3,2,50+,3,5.108342361863489,Low Risk
27,male,1,1,little,little,1168,12,1,3,<30,4,6.375947995666306,Low Risk
26,male,2,1,little,unknown,5117,27,0,1,<30,1,27.83044420368364,Low Risk
21,male,2,2,little,little,902,12,3,3,<30,4,4.934994582881908,Low Risk
38,male,1,1,little,unknown,1495,12,1,3,30-50,4,8.148699891657639,Low Risk
38,male,3,0,little,little,10623,30,1,0,30-50,2,57.6679306608884,Medium Risk
43,male,2,1,little,unknown,1935,12,4,2,30-50,4,10.53223185265439,Low Risk
26,male,2,1,little,moderate,1424,12,2,3,<30,4,7.7627302275189605,Low Risk
21,male,1,1,little,little,6568,24,0,1,<30,4,35.67713976164681,Low Risk
55,male,2,1,rich,unknown,1413,12,1,2,50+,3,7.7044962080173365,Low Risk
33,male,2,1,unknown,unknown,3074,9,5,3,30-50,4,16.69284940411701,Low Risk
45,female,1,1,unknown,unknown,3835,36,5,1,30-50,3,20.924972914409533,Low Risk
50,male,2,1,little,little,5293,27,0,2,30-50,3,28.78250270855905,Low Risk
66,male,3,1,little,rich,1908,30,0,2,50+,3,10.45774647887324,Low Risk
51,male,2,1,unknown,unknown,3342,36,5,2,50+,3,18.254333694474543,Low Risk
39,female,1,1,unknown,moderate,932,6,3,3,30-50,4,5.075839653304443,Low Risk
31,male,2,1,little,little,3104,18,0,1,30-50,4,16.887865655471295,Low Risk
23,male,2,1,little,rich,3913,36,5,1,<30,1,21.34344528710726,Low Risk
24,male,1,2,little,little,3021,24,4,3,<30,4,16.4626218851571,Low Risk
64,female,2,1,little,unknown,1364,10,1,2,50+,3,7.430931744312026,Low Risk
26,male,1,1,little,moderate,625,12,5,3,<30,4,3.4344528710725895,Low Risk
23,female,2,2,unknown,little,1200,12,3,3,<30,4,6.552004333694475,Low Risk
30,male,2,1,little,unknown,707,12,5,3,<30,4,3.8800108342361868,Low Risk
32,male,2,1,unknown,unknown,2978,24,0,1,30-50,4,16.23374864572048,Low Risk
30,male,2,1,little,unknown,4657,15,1,1,<30,4,25.289815817984834,Low Risk
27,male,2,1,little,unknown,2613,36,6,1,<30,1,14.302546045503792,Low Risk
27,male,2,1,rich,moderate,10961,48,5,0,<30,2,59.57204767063923,Medium Risk
53,male,3,0,little,little,7865,12,4,2,50+,3,42.654387865655465,Low Risk
22,male,2,1,little,unknown,1478,9,5,3,<30,4,8.044420368364031,Low Risk
22,male,2,0,little,little,3149,24,4,1,<30,4,17.156013001083426,Low Risk
26,male,2,1,little,rich,4210,36,5,1,<30,1,22.952329360780062,Low Risk
51,male,1,0,quite rich,unknown,2507,9,1,2,50+,3,13.618634886240521,Low Risk
35,male,2,1,moderate,unknown,2141,12,5,3,30-50,4,11.648158179848323,Low Risk
25,male,1,1,little,moderate,866,18,5,3,<30,4,4.764355362946912,Low Risk
42,male,1,1,little,unknown,1544,4,5,3,30-50,4,8.38163596966414,Low Risk
30,male,3,1,little,little,1823,24,5,1,<30,1,9.97291440953413,Low Risk
23,male,0,1,unknown,moderate,14555,6,1,1,<30,1,78.87323943661971,High Risk
61,male,1,2,moderate,moderate,2767,21,0,2,50+,3,15.074485373781146,Low Risk
35,female,2,1,little,unknown,1291,12,5,3,30-50,4,7.043607800650055,Low Risk
39,male,2,1,little,little,2522,30,5,1,30-50,3,13.783856988082341,Low Risk
29,female,2,1,unknown,little,915,24,1,1,<30,4,5.0568797399783305,Low Risk
51,male,2,1,little,unknown,1595,6,5,2,50+,3,8.666034669555795,Low Risk
24,male,2,0,little,little,4605,48,1,0,<30,1,25.140845070422536,Low Risk
27,female,2,1,little,unknown,1185,12,0,3,<30,4,6.469393282773566,Low Risk
35,female,1,1,quite rich,unknown,3447,12,3,3,30-50,4,18.722914409534127,Low Risk
25,male,2,1,little,unknown,1258,24,0,1,<30,4,6.913596966413868,Low Risk
52,male,2,1,little,unknown,717,12,5,2,50+,3,3.9341820151679316,Low Risk
35,male,2,2,moderate,unknown,1204,6,1,3,30-50,4,6.5479414951245944,Low Risk
